searchDate,flightDate,startingAirport,destinationAirport,totalFare,isNonStop,seatsRemaining,totalTravelDistance,isBasicEconomy,days_before_departure,departure_day_of_week,departure_month,search_day_of_week
2022-09-04,2022-09-30,DTW,SFO,311.6,false,9,2606.0,true,26,5,9,0
2022-08-27,2022-09-25,LGA,MIA,98.6,true,7,1104.0,false,29,0,9,6
2022-05-19,2022-06-24,EWR,LAX,587.2,false,5,2543.0,false,36,5,6,4
2022-06-13,2022-07-04,BOS,CLT,122.6,false,9,730.0,true,21,1,7,1
2022-07-07,2022-08-05,JFK,DTW,278.6,true,7,485.0,false,29,5,8,4
2022-06-02,2022-07-20,CLT,PHL,297.1,false,1,457.0,false,48,3,7,4
2022-08-26,2022-09-27,MIA,CLT,200.2,false,7,824.0,true,32,2,9,5
2022-04-23,2022-06-16,MIA,ORD,222.6,false,7,1517.0,false,54,4,6,6
2022-09-02,2022-10-18,DFW,OAK,517.1,false,6,2819.0,false,46,2,10,5
2022-05-06,2022-06-30,OAK,ORD,551.21,false,2,2395.0,false,55,4,6,5
2022-08-25,2022-09-18,ATL,LAX,467.6,false,1,2055.0,false,24,0,9,4
2022-08-22,2022-09-06,MIA,DEN,135.58,false,0,1834.0,false,15,2,9,1
2022-07-22,2022-09-20,EWR,LAX,130.6,false,3,2465.0,false,60,2,9,5
2022-04-30,2022-06-13,ATL,DTW,206.61,false,4,1247.0,false,44,1,6,6
2022-06-13,2022-07-15,BOS,MIA,208.61,true,7,1260.0,false,32,5,7,1
2022-08-13,2022-10-03,ORD,SFO,278.6,true,7,1847.0,false,51,1,10,6
2022-06-15,2022-07-10,ATL,CLT,499.61,false,1,872.0,false,25,0,7,3
2022-06-06,2022-06-07,JFK,DFW,226.1,false,7,1475.0,false,1,2,6,1
2022-08-21,2022-09-08,LAX,JFK,207.61,false,7,2466.0,false,18,4,9,0
2022-07-05,2022-08-13,DTW,SFO,637.6,false,7,2087.0,false,39,6,8,2
2022-04-29,2022-06-20,LAX,PHL,631.2,false,7,2417.0,false,52,1,6,5
2022-07-08,2022-07-19,MIA,PHL,75.58,false,0,1263.0,false,11,2,7,5
2022-07-30,2022-09-13,MIA,DEN,203.6,false,7,1765.0,false,45,2,9,6
2022-05-26,2022-07-07,EWR,OAK,377.58,false,0,2808.0,false,42,4,7,4
2022-06-01,2022-06-18,DEN,DFW,202.6,true,5,650.0,false,17,6,6,3
2022-06-13,2022-06-23,SFO,MIA,798.6,false,9,2731.0,false,10,4,6,1
2022-09-17,2022-10-01,DEN,MIA,187.6,false,3,1834.0,false,14,6,10,6
2022-08-31,2022-09-08,ATL,MIA,138.6,true,9,596.0,true,8,4,9,3
2022-08-28,2022-09-24,MIA,PHL,318.6,false,8,1263.0,false,27,6,9,0
2022-05-26,2022-06-25,DEN,OAK,472.6,false,9,1186.0,false,30,6,6,4
2022-07-24,2022-08-03,DFW,OAK,385.6,false,1,1580.0,false,10,3,8,0
2022-08-02,2022-09-03,JFK,DEN,177.61,false,9,1969.0,true,32,6,9,2
2022-06-25,2022-07-04,LAX,MIA,297.6,false,1,2353.0,false,9,1,7,6
2022-05-30,2022-06-02,DTW,LAX,498.6,false,8,1948.0,false,3,4,6,1
2022-08-14,2022-09-15,DEN,ATL,176.11,false,4,1574.0,false,32,4,9,0
2022-07-25,2022-08-09,DFW,CLT,312.6,false,7,1213.0,false,15,2,8,1
2022-07-13,2022-09-06,DTW,CLT,207.6,false,7,1030.0,false,55,2,9,3
2022-07-26,2022-08-20,MIA,DTW,357.19,false,4,1200.0,false,25,6,8,2
