legId,searchDate,flightDate,startingAirport,destinationAirport,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsAirlineCode,segmentsCabinCode
768edf7876ec1b6e6b36421fc8849002,2022-04-16,2022-04-17,ATL,DTW,1,False,False,False,373.02,430.2,4,1402.0,DL||DL,coach||coach
e66e999b88c18d9bfe059e3fcfdbe000,2022-04-16,2022-04-17,ATL,LGA,0,False,False,True,171.16,198.6,9,762.0,DL,coach
f4fe8c61ae8edd218a521aa2a9aaa000,2022-04-16,2022-04-17,BOS,LAX,0,False,False,False,524.65,587.6,2,2656.0,DL||DL,coach||coach
7c4911cf058a6d9cd1f40438d4e25000,2022-04-16,2022-04-17,CLT,EWR,0,False,False,False,292.09,336.1,4,990.0,DL||DL,coach||coach
7d0bc616623b4e480895667f267df001,2022-04-16,2022-04-17,ORD,BOS,0,False,False,True,77.21,97.6,7,862.0,B6,coach
5efb09a97954aab1245b4df0929b0000,2022-04-16,2022-04-17,SFO,LAX,0,False,False,True,292.09,328.6,2,339.0,DL,coach
f8b4c49dc337ca4a221227164b416002,2022-04-16,2022-04-18,BOS,MIA,0,False,False,False,407.44,461.6,1,1289.0,UA||UA,coach||coach
445eb808b9ea7f33a96237398b84e000,2022-04-16,2022-04-18,BOS,PHL,0,False,False,False,407.44,467.2,1,282.0,UA||UA,coach||coach
a91e0acde63f29b2f57bc1246f3b9001,2022-04-16,2022-04-18,JFK,DFW,0,False,False,False,387.91,440.6,1,1507.0,AA||AA,coach||coach
22d5f4db31f497fe11ab603a66d7a000,2022-04-16,2022-04-18,LAX,IAD,0,False,False,True,459.53,508.6,7,2295.0,AS,coach
f5f0c51545cd2dcee08884bd05281001,2022-04-16,2022-04-19,CLT,MIA,0,False,False,True,200.0,228.1,7,652.0,AA,coach
22efdfbceac7d2531b0a2b7df695a000,2022-04-16,2022-04-19,DFW,EWR,0,True,False,False,143.26,177.61,9,1652.0,UA||UA,coach||coach
609bf9f02eff79c2af2c512246266000,2022-04-16,2022-04-19,EWR,LAX,0,False,False,False,264.38,371.96,0,,NK||NK,coach||coach
01f52bd09a3c77939320ff5628bff001,2022-04-16,2022-04-19,JFK,LAX,0,False,False,False,339.53,388.6,7,2544.0,DL||DL,coach||coach
27a0aed7a83b2e2fcc7da7aa44de1001,2022-04-16,2022-04-19,LAX,DFW,0,False,False,False,252.09,294.6,3,1270.0,AA||AA,coach||coach
3d37bd03298675cc8967fd03fcef9000,2022-04-16,2022-04-19,MIA,OAK,0,False,False,False,535.82,604.11,1,2684.0,UA||UA||DL,coach||coach||coach
3b2db1c6248e50acd1a172a2b7b0a000,2022-04-16,2022-04-20,CLT,JFK,0,False,False,False,164.65,199.1,7,547.0,AA||AA,coach||coach
7cc5747f600780da30b909da2e8c7002,2022-04-16,2022-04-20,DEN,ATL,0,False,False,False,252.09,293.1,7,1574.0,AA||AA,coach||coach
9f80cd9b55a1a438c17f4867c1f24002,2022-04-16,2022-04-20,JFK,LAX,1,False,False,False,319.07,372.2,2,2905.0,AS||AS,coach||coach
986c75e9efe9bbf64234aadb81aa1001,2022-04-16,2022-04-20,LAX,EWR,1,False,False,False,694.88,770.6,9,2470.0,DL||DL,coach||coach
3d260ff7fc4cfeaf85f15b2dd2bb6001,2022-04-16,2022-04-20,LGA,MIA,0,False,False,False,73.49,101.1,7,1197.0,AA||AA,coach||coach
26218a927ea3f3b425470494dc496000,2022-04-16,2022-04-20,MIA,DFW,0,False,False,True,252.09,285.6,7,1115.0,AA,coach
1ce31bb2a8c61bce1a0a8963b7ef5000,2022-04-16,2022-04-20,ORD,ATL,1,False,False,True,117.21,140.6,5,600.0,UA,coach
85658399e0160cde1a7719998f98e002,2022-04-16,2022-04-20,ORD,DEN,0,False,False,True,202.79,232.6,9,903.0,UA,coach
